		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
001100101  247  251  254  266  251  241  243  280  8.375368 0.397688 SUCCESS  42
001100111  255  231  230  226  256  239  264  237  6.065324 0.639915 SUCCESS  43
001101011  266  248  265  248  225  268  261  233  9.696150 0.287003 SUCCESS  44
001101101  225  239  258  225  265  228  251  218 10.065800 0.260438 SUCCESS  45
001101111  243  224  248  257  223  226  243  257  6.477340 0.593922 SUCCESS  46
001110101  255  247  241  242  271  270  238  263  8.161417 0.417864 SUCCESS  47
001110111  264  274  247  219  240  243  288  260 17.465145 0.025614 SUCCESS  48
001111011  250  218  254  203  247  239  247  228 11.899219 0.155757 SUCCESS  49
001111101  252  226  244  244  244  237  233  252  2.656922 0.954012 SUCCESS  50
001111111  266  262  233  260  239  268  250  244  7.645602 0.468831 SUCCESS  51
010000011  221  232  267  215  217  254  227  207 19.311275 0.013281 SUCCESS  52
010000111  266  251  257  262  255  227  262  256  7.978181 0.435604 SUCCESS  53
010001011  213  201  236  239  239  275  230  274 21.151049 0.006757 FAILURE  54
010001111  248  231  226  242  248  252  240  230  3.448120 0.903179 SUCCESS  55
010010011  261  245  253  222  243  235  256  251  4.773139 0.781525 SUCCESS  56
010010111  261  267  243  244  234  275  242  245  7.924163 0.440913 SUCCESS  57
010011011  236  209  244  233  255  228  235  220 10.452396 0.234697 SUCCESS  58
010011111  248  245  212  239  265  260  236  254  8.157180 0.418269 SUCCESS  59
010100011  252  237  230  256  263  238  220  248  6.118282 0.633984 SUCCESS  60
010100111  253  248  200  227  255  234  236  239 11.214997 0.189812 SUCCESS  61
010101011  240  267  250  228  246  231  244  255  4.782672 0.780532 SUCCESS  62
010101111  248  275  231  241  254  250  238  241  5.633183 0.688244 SUCCESS  63
010110011  243  243  225  262  253  266  234  268  8.124346 0.421419 SUCCESS  64
010110111  249  250  244  243  228  225  240  261  4.182124 0.840329 SUCCESS  65
010111011  245  221  258  250  242  258  256  251  4.863168 0.772096 SUCCESS  66
010111111  268  248  241  245  248  232  257  246  3.926864 0.863661 SUCCESS  67
011000111  256  260  244  249  239  238  260  231  3.833657 0.871811 SUCCESS  68
011001111  239  232  247  244  266  249  248  258  3.776462 0.876708 SUCCESS  69
011010111  233  228  261  244  247  249  225  227  5.760283 0.674063 SUCCESS  70
011011111  244  250  248  232  239  218  231  261  5.771934 0.672761 SUCCESS  71
011101111  274  265  234  232  251  242  273  229 11.405647 0.179757 SUCCESS  72
011111111  259  270  237  244  234  264  276  238 10.560431 0.227870 SUCCESS  73
100000000  239  235  254  278  207  229  225  242 14.116057 0.078790 SUCCESS  74
100010000  242  250  252  245  264  250  245  256  2.851809 0.943310 SUCCESS  75
100100000  236  259  257  250  250  225  269  230  7.228290 0.512214 SUCCESS  76
100101000  244  272  242  268  218  271  226  234 13.503858 0.095649 SUCCESS  77
100110000  212  236  272  258  268  239  247  249 11.421535 0.178939 SUCCESS  78
100111000  239  239  230  221  245  235  251  268  6.304696 0.613142 SUCCESS  79
101000000  256  281  237  266  213  221  254  235 15.736584 0.046309 SUCCESS  80
101000100  226  239  259  268  239  267  211  236 12.112112 0.146271 SUCCESS  81
101001000  242  236  250  246  224  227  273  235  7.303491 0.504270 SUCCESS  82
101001100  243  241  261  241  228  227  276  228  9.044762 0.338534 SUCCESS  83
101010000  254  265  225  256  251  236  253  250  5.366273 0.717806 SUCCESS  84
101010100  252  254  223  228  255  213  229  219 11.917225 0.154935 SUCCESS  85
101011000  258  259  224  218  250  275  237  247 10.795567 0.213554 SUCCESS  86
101011100  257  233  245  245  231  256  265  242  4.425732 0.816817 SUCCESS  87
101100000  253  244  255  252  220  264  257  243  5.944579 0.653440 SUCCESS  88
101100100  222  219  255  254  264  238  238  254  8.067151 0.426938 SUCCESS  89
101101000  245  240  223  242  245  232  247  244  2.646330 0.954558 SUCCESS  90
101101100  238  224  268  246  235  227  233  263  7.933695 0.439974 SUCCESS  91
101110000  247  239  234  246  239  269  248  223  5.282599 0.726989 SUCCESS  92
101110100  247  252  243  237  218  224  250  230  6.117223 0.634103 SUCCESS  93
101111000  226  243  267  240  259  214  251  256  9.266128 0.320346 SUCCESS  94
101111100  222  235  241  225  262  273  248  219 11.641842 0.167914 SUCCESS  95
110000000  239  246  257  246  231  248  222  224  5.426646 0.711153 SUCCESS  96
110000010  262  271  246  224  246  261  248  242  7.448597 0.489093 SUCCESS  97
110000100  216  264  270  230  246  255  254  236  9.915398 0.271014 SUCCESS  98
110001000  252  270  231  237  276  225  252  255 10.662111 0.221589 SUCCESS  99
110001010  259  222  225  243  220  248  243  238  7.260065 0.508851 SUCCESS 100
110010000  225  258  254  245  250  240  244  240  3.072116 0.929751 SUCCESS 101
110010010  239  252  264  267  225  244  229  235  7.136142 0.522018 SUCCESS 102
110010100  254  251  238  249  230  269  222  258  7.229349 0.512102 SUCCESS 103
110011000  219  250  258  273  285  249  248  254 14.824640 0.062646 SUCCESS 104
110011010  245  240  238  233  236  256  246  250  1.796878 0.986618 SUCCESS 105
110100000  234  233  241  248  231  232  254  242  2.848631 0.943494 SUCCESS 106
110100010  212  214  224  255  241  269  231  247 13.861857 0.085438 SUCCESS 107
110100100  240  246  262  218  231  232  279  231 11.567700 0.171559 SUCCESS 108
110101000  262  249  231  258  272  241  245  244  6.336471 0.609598 SUCCESS 109
110101010  248  254  227  227  253  211  225  236  9.773470 0.281287 SUCCESS 110
110101100  264  232  246  248  247  302  222  268 21.089617 0.006913 FAILURE 111
110110000  234  232  260  230  250  251  233  245  3.844249 0.870895 SUCCESS 112
110110010  225  237  268  257  249  249  245  251  5.286835 0.726525 SUCCESS 113
110110100  248  235  251  236  256  226  265  247  4.766784 0.782187 SUCCESS 114
110111000  258  240  228  234  230  250  243  221  5.686142 0.682341 SUCCESS 115
110111010  253  272  259  253  220  215  275  253 15.328804 0.053059 SUCCESS 116
110111100  240  241  238  263  247  213  272  242  9.232235 0.323085 SUCCESS 117
111000000  221  246  238  228  237  256  222  238  6.586434 0.581837 SUCCESS 118
111000010  230  253  248  262  255  258  243  217  7.035521 0.532805 SUCCESS 119
111000100  269  264  224  225  276  239  262  246 13.344983 0.100518 SUCCESS 120
111000110  274  256  236  254  267  236  247  261  8.809627 0.358609 SUCCESS 121
111001000  244  252  258  238  250  244  262  240  2.809442 0.945741 SUCCESS 122
111001010  245  238  254  210  246  277  246  252 10.380373 0.239337 SUCCESS 123
111001100  248  249  251  262  279  253  253  245  7.541803 0.479456 SUCCESS 124
111010000  245  222  262  265  223  234  249  232  8.325588 0.402329 SUCCESS 125
111010010  237  250  235  245  228  243  252  215  5.680846 0.682932 SUCCESS 126
111010100  269  232  245  283  251  225  233  263 13.433953 0.097765 SUCCESS 127
111010110  258  265  236  252  280  280  223  262 17.353933 0.026628 SUCCESS 128
111011000  229  233  248  210  247  231  223  239  9.257655 0.321029 SUCCESS 129
111011010  265  257  221  238  240  242  242  259  6.020839 0.644898 SUCCESS 130
111011100  258  232  254  226  242  241  246  227  4.561306 0.803269 SUCCESS 131
111100000  231  259  246  229  232  244  207  255  9.614595 0.293124 SUCCESS 132
111100010  271  243  253  252  267  227  267  249  9.438773 0.306643 SUCCESS 133
111100100  233  247  255  258  250  266  237  230  5.109954 0.745762 SUCCESS 134
111100110  251  235  270  223  265  220  235  256 10.542425 0.228997 SUCCESS 135
111101000  247  241  237  263  238  234  255  287 10.683295 0.220298 SUCCESS 136
111101010  261  230  247  269  257  215  220  231 12.200023 0.142500 SUCCESS 137
111101100  219  225  235  214  236  224  221  226 14.074750 0.079838 SUCCESS 138
111101110  278  244  249  219  250  235  251  223 10.226794 0.249467 SUCCESS 139
111110000  206  279  227  221  240  279  224  245 21.763248 0.005374 FAILURE 140
111110010  227  230  245  234  236  274  243  251  6.791913 0.559241 SUCCESS 141
111110100  249  237  230  276  226  242  257  248  7.642424 0.469155 SUCCESS 142
111110110  242  240  220  237  233  219  221  234  8.670876 0.370816 SUCCESS 143
111111000  282  279  228  241  243  264  272  248 17.407950 0.026131 SUCCESS 144
111111010  260  235  234  293  259  241  265  219 17.474678 0.025529 SUCCESS 145
111111100  259  256  239  233  223  249  261  278 10.229971 0.249255 SUCCESS 146
111111110  259  270  237  244  234  264  276  238 10.560431 0.227870 SUCCESS 147

